rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis,weights_snapshot
2017-06-30,비에이치아이,SK,"LS ELECTRIC, 현대모비스, 고영, 한미약품, 리가켐바이오",꺾임신호:1,"리가켐바이오(141080) 57.2%, 30d; 고영(098460) 26.4%, 242d; 현대모비스(012330) 10.6%, 242d; LS ELECTRIC(010120) 3.2%, 150d; 비에이치아이(083650) 2.6%, 0d"
2017-07-31,"카카오, HL만도","비에이치아이, 한미약품","LS ELECTRIC, 현대모비스, 고영, 리가켐바이오","트레일링스탑:1, 꺾임신호:1","리가켐바이오(141080) 54.4%, 61d; 고영(098460) 29.3%, 273d; 현대모비스(012330) 10.8%, 273d; LS ELECTRIC(010120) 3.4%, 181d; 카카오(035720) 2.0%, 0d"
2017-08-31,한미반도체,고영,"LS ELECTRIC, 현대모비스, 카카오, 리가켐바이오, HL만도",꺾임신호:1,"리가켐바이오(141080) 57.5%, 92d; 한미반도체(042700) 27.0%, 0d; 현대모비스(012330) 10.1%, 304d; LS ELECTRIC(010120) 3.4%, 212d; 카카오(035720) 2.0%, 31d"
2017-09-29,한미약품,리가켐바이오,"LS ELECTRIC, 현대모비스, 카카오, 한미반도체, HL만도",꺾임신호:1,"한미약품(128940) 54.4%, 0d; 한미반도체(042700) 29.9%, 29d; 현대모비스(012330) 10.3%, 333d; LS ELECTRIC(010120) 3.1%, 241d; 카카오(035720) 2.3%, 60d"
2017-10-31,현대로템,카카오,"LS ELECTRIC, 현대모비스, 한미반도체, 한미약품, HL만도",꺾임신호:1,"한미약품(128940) 52.0%, 32d; 한미반도체(042700) 31.8%, 61d; 현대모비스(012330) 10.7%, 365d; LS ELECTRIC(010120) 3.2%, 273d; 현대로템(064350) 2.2%, 0d"
2017-11-30,현대차,한미반도체,"LS ELECTRIC, 현대모비스, 현대로템, 한미약품, HL만도",꺾임신호:1,"한미약품(128940) 54.3%, 62d; 현대차(005380) 31.7%, 0d; 현대모비스(012330) 9.4%, 395d; LS ELECTRIC(010120) 2.8%, 303d; 현대로템(064350) 1.8%, 30d"
2017-12-28,LIG넥스원,현대로템,"현대차, LS ELECTRIC, 현대모비스, 한미약품, HL만도",꺾임신호:1,"한미약품(128940) 56.5%, 90d; 현대차(005380) 29.9%, 28d; 현대모비스(012330) 8.9%, 423d; LS ELECTRIC(010120) 3.0%, 331d; LIG넥스원(079550) 1.7%, 0d"
2018-01-31,삼성물산,HL만도,"현대차, LS ELECTRIC, 현대모비스, LIG넥스원, 한미약품",꺾임신호:1,"한미약품(128940) 56.6%, 124d; 현대차(005380) 30.4%, 62d; 현대모비스(012330) 8.2%, 457d; LS ELECTRIC(010120) 3.1%, 365d; LIG넥스원(079550) 1.7%, 34d"
2018-02-28,"기아, 셀트리온","LIG넥스원, 한미약품","현대차, LS ELECTRIC, 현대모비스, 삼성물산","트레일링스탑:1, 꺾임신호:1","셀트리온(068270) 52.7%, 0d; 현대차(005380) 35.5%, 90d; 현대모비스(012330) 8.9%, 485d; LS ELECTRIC(010120) 2.9%, 393d"
2018-03-30,현대약품,현대차,"기아, LS ELECTRIC, 현대모비스, 삼성물산, 셀트리온",꺾임신호:1,"셀트리온(068270) 51.3%, 30d; 현대약품(004310) 34.8%, 0d; 현대모비스(012330) 10.4%, 515d; LS ELECTRIC(010120) 3.6%, 423d"
