trade_id,buy_date,sell_date,stock_code,stock_name,buy_price,sell_price,return_pct,holding_days,buy_reason,sell_reason,sell_reason_detail,return_pct_fmt
86,2021-03-31,2021-04-30,272210,한화시스템,19760.0,17300.0,-12.449392712550612,30,슈퍼사이클 지속,꺾임신호,"score_gap=1.3065, challenger=082740",-12.45%
87,2020-07-31,2021-05-31,066970,엘앤에프,38952.0,85117.0,118.51766276442804,304,슈퍼사이클 지속,꺾임신호,"score_gap=1.1061, challenger=001440",118.52%
88,2021-05-31,2021-06-30,001440,대한전선,17586.0,26534.0,50.881382918230415,30,슈퍼사이클 지속,꺾임신호,"score_gap=1.2975, challenger=277810",50.88%
89,2021-02-26,2021-07-30,000660,SK하이닉스,141500.0,112500.0,-20.49469964664311,154,슈퍼사이클 지속,트레일링스탑,peak 대비 -20.49% 하락,-20.49%
90,2021-04-30,2021-07-30,082740,한화엔진,7806.0,6668.0,-14.578529336407886,91,슈퍼사이클 지속,꺾임신호,"score_gap=1.0066, challenger=064350",-14.58%
91,2020-06-30,2021-08-31,083650,비에이치아이,2400.0,4530.0,88.75,427,슈퍼사이클 지속,트레일링스탑,peak 대비 -21.49% 하락,88.75%
92,2021-07-30,2021-08-31,058610,에스피지,12400.0,11100.0,-10.483870967741938,32,슈퍼사이클 지속,교체(+15% 우위),"score_gap=0.9388, challenger=086520",-10.48%
93,2021-08-31,2021-09-30,086520,에코프로,20837.0,18463.0,-11.3931947977156,30,슈퍼사이클 지속,꺾임신호,"score_gap=1.2473, challenger=267260",-11.39%
94,2021-06-30,2021-10-29,277810,레인보우로보틱스,24550.0,19050.0,-22.403258655804482,121,슈퍼사이클 지속,트레일링스탑,peak 대비 -22.40% 하락,-22.40%
96,2021-07-30,2021-10-29,064350,현대로템,24850.0,22500.0,-9.456740442655931,91,슈퍼사이클 지속,꺾임신호,"score_gap=1.1870, challenger=067310",-9.46%
95,2021-09-30,2021-10-29,267260,HD현대일렉트릭,27800.0,22100.0,-20.503597122302153,29,슈퍼사이클 지속,트레일링스탑,peak 대비 -20.50% 하락,-20.50%
97,2020-10-30,2021-11-30,006400,삼성SDI,432732.0,673574.0,55.656156697447834,396,슈퍼사이클 지속,꺾임신호,"score_gap=0.8917, challenger=003670",55.66%
98,2021-08-31,2021-12-30,247540,에코프로비엠,79165.0,123739.0,56.30518537232363,121,턴어라운드 진입,꺾임신호,"score_gap=1.1629, challenger=028260",56.31%
99,2021-10-29,2022-01-28,086520,에코프로,18707.0,12425.0,-33.58101245523066,91,리스크완화,트레일링스탑,peak 대비 -48.10% 하락,-33.58%
100,2021-11-30,2022-01-28,003670,포스코퓨처엠,152667.0,107109.0,-29.841419560219297,59,슈퍼사이클 지속,트레일링스탑,peak 대비 -29.84% 하락,-29.84%
101,2021-12-30,2022-01-28,028260,삼성물산,119000.0,107000.0,-10.084033613445376,29,슈퍼사이클 지속,꺾임신호,"score_gap=0.8759, challenger=000720",-10.08%
102,2022-01-28,2022-02-28,042700,한미반도체,18450.0,16700.0,-9.485094850948506,31,턴어라운드 진입,꺾임신호,"score_gap=1.3238, challenger=006910",-9.49%
103,2021-10-29,2022-03-31,067310,하나마이크론,15821.0,15900.0,0.4993363251374783,153,슈퍼사이클 지속,꺾임신호,"score_gap=1.2471, challenger=267260",0.50%
104,2021-10-29,2022-04-29,011070,LG이노텍,209500.0,349000.0,66.5871121718377,182,슈퍼사이클 지속,꺾임신호,"score_gap=1.0890, challenger=086280",66.59%
105,2022-02-28,2022-05-31,006910,보성파워텍,5160.0,6350.0,23.062015503875966,92,슈퍼사이클 지속,교체(+15% 우위),"score_gap=1.0228, challenger=012330",23.06%
106,2021-02-26,2022-06-30,055550,신한지주,32950.0,37050.0,12.443095599393029,489,슈퍼사이클 지속,꺾임신호,"score_gap=1.0361, challenger=042660",12.44%
107,2022-04-29,2022-07-29,086280,현대글로비스,104541.0,91036.0,-12.918376522130071,91,슈퍼사이클 지속,꺾임신호,"score_gap=0.8562, challenger=012450",-12.92%
108,2022-06-30,2022-08-31,042660,한화오션,21322.0,17901.0,-16.044461119969988,62,슈퍼사이클 지속,꺾임신호,"score_gap=1.2045, challenger=083650",-16.04%
109,2022-01-28,2022-09-30,000720,현대건설,42200.0,37500.0,-11.137440758293838,245,턴어라운드 진입,트레일링스탑,peak 대비 -22.20% 하락,-11.14%
110,2022-07-29,2022-09-30,012450,한화에어로스페이스,65601.0,62646.0,-4.504504504504503,63,슈퍼사이클 지속,트레일링스탑,peak 대비 -24.45% 하락,-4.50%
111,2022-08-31,2022-09-30,083650,비에이치아이,11300.0,6670.0,-40.97345132743363,30,슈퍼사이클 지속,트레일링스탑,peak 대비 -40.97% 하락,-40.97%
112,2022-01-28,2022-10-31,298040,효성중공업,52500.0,57400.0,9.333333333333327,276,리스크완화,트레일링스탑,peak 대비 -22.33% 하락,9.33%
113,2022-09-30,2022-10-31,015760,한국전력,20100.0,16750.0,-16.666666666666664,31,턴어라운드 진입,꺾임신호,"score_gap=1.1211, challenger=010120",-16.67%
114,2022-09-30,2022-11-30,004310,현대약품,4750.0,4845.0,2.0000000000000018,61,리스크완화,꺾임신호,"score_gap=1.1475, challenger=015760",2.00%
115,2022-10-31,2022-12-29,010130,고려아연,640000.0,564000.0,-11.875000000000002,59,슈퍼사이클 지속,꺾임신호,"score_gap=0.9972, challenger=214450",-11.88%
116,2022-05-31,2023-01-31,012330,현대모비스,218500.0,205500.0,-5.949656750572085,245,슈퍼사이클 지속,꺾임신호,"score_gap=1.1069, challenger=010140",-5.95%
117,2022-09-30,2023-02-28,068270,셀트리온,155522.0,133577.0,-14.110543845886758,151,리스크완화,트레일링스탑,peak 대비 -21.49% 하락,-14.11%
118,2022-11-30,2023-02-28,015760,한국전력,20700.0,18050.0,-12.80193236714976,90,슈퍼사이클 지속,꺾임신호,"score_gap=1.2096, challenger=377300",-12.80%
119,2023-02-28,2023-03-31,347700,스피어,6430.0,4918.0,-23.514774494556768,31,슈퍼사이클 지속,트레일링스탑,peak 대비 -23.51% 하락,-23.51%
120,2023-02-28,2023-03-31,377300,카카오페이,62700.0,55600.0,-11.323763955342903,31,슈퍼사이클 지속,꺾임신호,"score_gap=1.2296, challenger=083650",-11.32%
121,2023-03-31,2023-04-28,083650,비에이치아이,7720.0,7280.0,-5.699481865284972,28,슈퍼사이클 지속,꺾임신호,"score_gap=1.2138, challenger=267270",-5.70%
