rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis,weights_snapshot
2016-02-29,"현대차, 한국전력, SK텔레콤, SK, 키움증권, 현대로템",-,-,-,"SK텔레콤(017670) 54.7%, 0d; 한국전력(015760) 24.0%, 0d; 현대로템(064350) 15.4%, 0d; 현대차(005380) 3.0%, 0d; SK(034730) 2.9%, 0d; 키움증권(039490) 0.0%, 0d"
2016-03-31,포스코DX,SK텔레콤,"현대차, 한국전력, SK, 키움증권, 현대로템",꺾임신호:1,"포스코DX(022100) 50.0%, 0d; 한국전력(015760) 25.4%, 31d; 현대로템(064350) 18.7%, 31d; 현대차(005380) 3.2%, 31d; SK(034730) 2.7%, 31d; 키움증권(039490) 0.0%, 31d"
2016-04-29,한화오션,키움증권,"현대차, 한국전력, 포스코DX, SK, 현대로템",꺾임신호:1,"포스코DX(022100) 53.3%, 29d; 한국전력(015760) 23.8%, 60d; 현대로템(064350) 17.7%, 60d; 현대차(005380) 2.7%, 60d; SK(034730) 2.5%, 60d; 한화오션(042660) 0.0%, 0d"
2016-05-31,현대차우,한화오션,"현대차, 한국전력, 포스코DX, SK, 현대로템",교체(+15% 우위):1,"포스코DX(022100) 54.6%, 61d; 한국전력(015760) 23.6%, 92d; 현대로템(064350) 16.8%, 92d; 현대차(005380) 2.6%, 92d; SK(034730) 2.5%, 92d; 현대차우(005385) 0.0%, 0d"
2016-06-30,삼천당제약,현대차우,"현대차, 한국전력, 포스코DX, SK, 현대로템",꺾임신호:1,"포스코DX(022100) 56.3%, 91d; 한국전력(015760) 22.3%, 122d; 현대로템(064350) 16.8%, 122d; 현대차(005380) 2.5%, 122d; SK(034730) 2.1%, 122d; 삼천당제약(000250) 0.0%, 0d"
2016-07-29,키움증권,삼천당제약,"현대차, 한국전력, 포스코DX, SK, 현대로템",꺾임신호:1,"포스코DX(022100) 53.5%, 120d; 한국전력(015760) 22.2%, 151d; 현대로템(064350) 19.8%, 151d; 현대차(005380) 2.4%, 151d; SK(034730) 2.2%, 151d; 키움증권(039490) 0.0%, 0d"
2016-08-31,POSCO홀딩스,현대차,"한국전력, 포스코DX, SK, 키움증권, 현대로템",꺾임신호:1,"포스코DX(022100) 52.3%, 153d; 현대로템(064350) 22.2%, 184d; 한국전력(015760) 21.0%, 184d; POSCO홀딩스(005490) 2.4%, 0d; SK(034730) 2.2%, 184d; 키움증권(039490) 0.0%, 33d"
2016-09-30,삼성중공업,키움증권,"POSCO홀딩스, 한국전력, 포스코DX, SK, 현대로템",꺾임신호:1,"포스코DX(022100) 53.6%, 183d; 한국전력(015760) 21.0%, 214d; 현대로템(064350) 20.5%, 214d; POSCO홀딩스(005490) 2.5%, 30d; SK(034730) 2.4%, 214d; 삼성중공업(010140) 0.0%, 0d"
2016-10-31,"현대모비스, 신한지주, 고영","삼성중공업, 한국전력, 현대로템","POSCO홀딩스, 포스코DX, SK","트레일링스탑:2, 꺾임신호:1","포스코DX(022100) 55.7%, 214d; 고영(098460) 24.5%, 0d; 현대모비스(012330) 14.5%, 0d; POSCO홀딩스(005490) 2.7%, 61d; SK(034730) 2.6%, 245d; 신한지주(055550) 0.0%, 0d"
2016-11-30,삼성전자우,포스코DX,"POSCO홀딩스, 현대모비스, SK, 신한지주, 고영",꺾임신호:1,"삼성전자우(005935) 55.7%, 0d; 고영(098460) 24.5%, 30d; 현대모비스(012330) 13.9%, 30d; POSCO홀딩스(005490) 3.0%, 91d; SK(034730) 2.8%, 275d; 신한지주(055550) 0.0%, 30d"
2016-12-29,펩트론,POSCO홀딩스,"삼성전자우, 현대모비스, SK, 신한지주, 고영",꺾임신호:1,"삼성전자우(005935) 55.8%, 29d; 고영(098460) 24.7%, 59d; 현대모비스(012330) 13.9%, 59d; 펩트론(087010) 2.9%, 0d; SK(034730) 2.7%, 304d; 신한지주(055550) 0.0%, 59d"
2017-01-31,LS ELECTRIC,펩트론,"삼성전자우, 현대모비스, SK, 신한지주, 고영",꺾임신호:1,"삼성전자우(005935) 59.2%, 62d; 고영(098460) 23.2%, 92d; 현대모비스(012330) 12.3%, 92d; LS ELECTRIC(010120) 2.9%, 0d; SK(034730) 2.4%, 337d; 신한지주(055550) 0.0%, 92d"
2017-02-28,HD한국조선해양,신한지주,"삼성전자우, LS ELECTRIC, 현대모비스, SK, 고영",꺾임신호:1,"삼성전자우(005935) 55.5%, 90d; 고영(098460) 26.3%, 120d; 현대모비스(012330) 12.8%, 120d; LS ELECTRIC(010120) 2.9%, 28d; SK(034730) 2.4%, 365d; HD한국조선해양(009540) 0.0%, 0d"
2017-03-31,펩트론,HD한국조선해양,"삼성전자우, LS ELECTRIC, 현대모비스, SK, 고영",꺾임신호:1,"삼성전자우(005935) 57.1%, 121d; 고영(098460) 25.7%, 151d; 현대모비스(012330) 11.6%, 151d; LS ELECTRIC(010120) 3.1%, 59d; SK(034730) 2.6%, 396d; 펩트론(087010) 0.0%, 0d"
2017-04-28,한미약품,펩트론,"삼성전자우, LS ELECTRIC, 현대모비스, SK, 고영",교체(+15% 우위):1,"삼성전자우(005935) 59.0%, 149d; 고영(098460) 25.4%, 179d; 현대모비스(012330) 10.1%, 179d; LS ELECTRIC(010120) 3.1%, 87d; SK(034730) 2.4%, 424d; 한미약품(128940) 0.0%, 0d"
2017-05-31,리가켐바이오,삼성전자우,"LS ELECTRIC, 현대모비스, SK, 고영, 한미약품",꺾임신호:1,"리가켐바이오(141080) 56.0%, 0d; 고영(098460) 26.2%, 212d; 현대모비스(012330) 12.0%, 212d; LS ELECTRIC(010120) 3.2%, 120d; SK(034730) 2.6%, 457d; 한미약품(128940) 0.0%, 33d"
2017-06-30,비에이치아이,SK,"LS ELECTRIC, 현대모비스, 고영, 한미약품, 리가켐바이오",꺾임신호:1,"리가켐바이오(141080) 57.2%, 30d; 고영(098460) 26.4%, 242d; 현대모비스(012330) 10.6%, 242d; LS ELECTRIC(010120) 3.2%, 150d; 비에이치아이(083650) 2.6%, 0d; 한미약품(128940) 0.0%, 63d"
2017-07-31,"카카오, HL만도","비에이치아이, 한미약품","LS ELECTRIC, 현대모비스, 고영, 리가켐바이오","트레일링스탑:1, 꺾임신호:1","리가켐바이오(141080) 54.4%, 61d; 고영(098460) 29.3%, 273d; 현대모비스(012330) 10.8%, 273d; LS ELECTRIC(010120) 3.4%, 181d; 카카오(035720) 2.0%, 0d; HL만도(204320) 0.0%, 0d"
2017-08-31,한미반도체,고영,"LS ELECTRIC, 현대모비스, 카카오, 리가켐바이오, HL만도",꺾임신호:1,"리가켐바이오(141080) 57.5%, 92d; 한미반도체(042700) 27.0%, 0d; 현대모비스(012330) 10.1%, 304d; LS ELECTRIC(010120) 3.4%, 212d; 카카오(035720) 2.0%, 31d; HL만도(204320) 0.0%, 31d"
2017-09-29,한미약품,리가켐바이오,"LS ELECTRIC, 현대모비스, 카카오, 한미반도체, HL만도",꺾임신호:1,"한미약품(128940) 54.4%, 0d; 한미반도체(042700) 29.9%, 29d; 현대모비스(012330) 10.3%, 333d; LS ELECTRIC(010120) 3.1%, 241d; 카카오(035720) 2.3%, 60d; HL만도(204320) 0.0%, 60d"
2017-10-31,현대로템,카카오,"LS ELECTRIC, 현대모비스, 한미반도체, 한미약품, HL만도",꺾임신호:1,"한미약품(128940) 52.0%, 32d; 한미반도체(042700) 31.8%, 61d; 현대모비스(012330) 10.7%, 365d; LS ELECTRIC(010120) 3.2%, 273d; 현대로템(064350) 2.2%, 0d; HL만도(204320) 0.0%, 92d"
2017-11-30,현대차,한미반도체,"LS ELECTRIC, 현대모비스, 현대로템, 한미약품, HL만도",꺾임신호:1,"한미약품(128940) 54.3%, 62d; 현대차(005380) 31.7%, 0d; 현대모비스(012330) 9.4%, 395d; LS ELECTRIC(010120) 2.8%, 303d; 현대로템(064350) 1.8%, 30d; HL만도(204320) 0.0%, 122d"
2017-12-28,LIG넥스원,현대로템,"현대차, LS ELECTRIC, 현대모비스, 한미약품, HL만도",꺾임신호:1,"한미약품(128940) 56.5%, 90d; 현대차(005380) 29.9%, 28d; 현대모비스(012330) 8.9%, 423d; LS ELECTRIC(010120) 3.0%, 331d; LIG넥스원(079550) 1.7%, 0d; HL만도(204320) 0.0%, 150d"
