rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis
2025-03-31,"현대건설, 파마리서치, LG에너지솔루션","NAVER, 에스피지, 레인보우로보틱스","한화, 대한항공, 셀트리온","트레일링스탑:2, 꺾임신호:1"
2025-04-30,미래에셋증권,셀트리온,"현대건설, 한화, 대한항공, 파마리서치, LG에너지솔루션",교체(+15% 우위):1
2025-05-30,SK스퀘어,LG에너지솔루션,"현대건설, 한화, 대한항공, 미래에셋증권, 파마리서치",교체(+15% 우위):1
2025-06-30,휴림로봇,미래에셋증권,"현대건설, 한화, 대한항공, 파마리서치, SK스퀘어",꺾임신호:1
2025-07-31,"한화오션, 한화시스템","대한항공, 휴림로봇","현대건설, 한화, 파마리서치, SK스퀘어","트레일링스탑:1, 꺾임신호:1"
2025-08-29,"제주반도체, 디앤디파마텍","현대건설, 한화시스템","한화, 한화오션, 파마리서치, SK스퀘어","트레일링스탑:1, 꺾임신호:1"
2025-09-30,한미반도체,한화,"한화오션, 제주반도체, 파마리서치, 디앤디파마텍, SK스퀘어",꺾임신호:1
2025-10-31,"레인보우로보틱스, 현대오토에버","제주반도체, 파마리서치","한화오션, 한미반도체, 디앤디파마텍, SK스퀘어","트레일링스탑:1, 꺾임신호:1"
2025-11-28,"고영, 한라캐스트","한화오션, 한미반도체","레인보우로보틱스, 현대오토에버, 디앤디파마텍, SK스퀘어","트레일링스탑:1, 교체(+15% 우위):1"
2025-12-30,제주반도체,고영,"한라캐스트, 레인보우로보틱스, 현대오토에버, 디앤디파마텍, SK스퀘어",꺾임신호:1
2026-01-30,대덕전자,현대오토에버,"제주반도체, 한라캐스트, 레인보우로보틱스, 디앤디파마텍, SK스퀘어",꺾임신호:1
2026-02-19,"삼성전기, 비에이치아이","한라캐스트, 대덕전자","제주반도체, 레인보우로보틱스, 디앤디파마텍, SK스퀘어","트레일링스탑:1, 꺾임신호:1"
